rep,signed_delta,ins_raw,wtd_raw,signed_covers_population,ins_covers_population,wtd_covers_population_raw,wtd_covers_latent,signed_width,wtd_width
0,-0.0312,0.1158,0.309,True,True,True,False,0.027012499999999995,0.05599999999999988
1,-0.023399999999999997,0.1206,0.307,True,True,True,False,0.027629999999999988,0.051049999999999984
2,-0.0246,0.1216,0.318,True,True,True,False,0.02812249999999998,0.054074999999999984
3,-0.024399999999999998,0.115,0.28700000000000003,True,True,True,False,0.0274125,0.06302500000000005
4,-0.0249,0.1155,0.291,True,True,True,False,0.025937499999999974,0.06305
5,-0.020599999999999993,0.1132,0.279,True,True,True,False,0.0249075,0.05802499999999999
6,-0.0338,0.1248,0.31,True,True,True,False,0.0257075,0.05202499999999999
7,-0.0209,0.1201,0.28800000000000003,True,True,True,False,0.02522749999999998,0.06305
8,-0.024199999999999996,0.1184,0.29800000000000004,True,True,True,False,0.024842499999999976,0.05102500000000004
9,-0.0198,0.1238,0.297,True,True,True,False,0.028224999999999986,0.06102499999999994
10,-0.011900000000000003,0.11449999999999999,0.267,True,True,False,False,0.023317499999999988,0.04307500000000003
11,-0.019600000000000003,0.1156,0.28800000000000003,True,True,True,False,0.027334999999999977,0.062049999999999994
12,-0.020799999999999996,0.12059999999999998,0.29900000000000004,True,True,True,False,0.025109999999999993,0.05399999999999999
13,-0.018999999999999996,0.1148,0.27899999999999997,True,True,True,False,0.027405,0.057050000000000045
14,-0.0222,0.115,0.28300000000000003,True,True,True,False,0.026917499999999997,0.04904999999999998
15,-0.022299999999999997,0.11769999999999999,0.294,True,True,True,False,0.0273025,0.05604999999999993
16,-0.0192,0.12279999999999998,0.306,True,True,True,False,0.026209999999999997,0.05505000000000004
17,-0.022799999999999997,0.113,0.3,True,True,True,False,0.02390749999999999,0.05299999999999999
18,-0.0193,0.1191,0.298,True,True,True,False,0.026604999999999993,0.06602500000000006
19,-0.026699999999999998,0.11629999999999999,0.302,True,True,True,False,0.024505000000000006,0.05299999999999999
20,-0.0273,0.11469999999999998,0.307,True,True,True,False,0.025705,0.044025000000000036
21,-0.0169,0.11989999999999999,0.293,True,True,True,False,0.025799999999999997,0.05802499999999994
22,-0.022699999999999994,0.1249,0.3350000000000001,True,True,False,False,0.028207499999999983,0.057050000000000045
23,-0.03269999999999999,0.12110000000000001,0.30500000000000005,True,True,True,False,0.0260075,0.05202500000000004
24,-0.012799999999999997,0.1144,0.258,True,True,False,False,0.026227499999999973,0.04400000000000004
25,-0.016599999999999997,0.1156,0.278,True,True,True,False,0.025122499999999985,0.05307500000000004
26,-0.014899999999999997,0.1185,0.287,True,True,True,False,0.02522749999999998,0.053025000000000044
27,-0.013199999999999998,0.1144,0.284,True,True,True,False,0.025007499999999995,0.055024999999999935
28,-0.0173,0.1195,0.31200000000000006,True,True,True,False,0.028424999999999992,0.0710249999999999
29,-0.015399999999999999,0.10940000000000001,0.258,True,False,False,False,0.0256025,0.047000000000000014
30,-0.016200000000000003,0.1148,0.29400000000000004,True,True,True,False,0.0257025,0.060024999999999995
31,-0.0269,0.11569999999999998,0.298,True,True,True,False,0.024822499999999983,0.049024999999999985
32,-0.017499999999999995,0.12669999999999998,0.293,True,True,True,False,0.027319999999999983,0.046999999999999986
33,-0.020200000000000003,0.12340000000000001,0.302,True,True,True,False,0.02671,0.04704999999999998
34,-0.008399999999999994,0.114,0.272,False,True,True,False,0.024607499999999994,0.04999999999999996
35,-0.032799999999999996,0.1178,0.3,True,True,True,False,0.024904999999999997,0.05499999999999999
36,-0.026900000000000004,0.12190000000000001,0.29600000000000004,True,True,True,False,0.025829999999999992,0.06004999999999999
37,-0.019399999999999997,0.1164,0.281,True,True,True,False,0.026509999999999992,0.04999999999999999
38,-0.0119,0.11789999999999999,0.29100000000000004,True,True,True,False,0.02512249999999998,0.05404999999999999
39,-0.029799999999999997,0.12119999999999999,0.29900000000000004,True,True,True,False,0.025212499999999992,0.062025
40,-0.015500000000000002,0.11749999999999998,0.26299999999999996,True,True,False,False,0.023119999999999988,0.04702500000000004
41,-0.002500000000000002,0.12190000000000001,0.29600000000000004,False,True,True,False,0.028002499999999993,0.06999999999999995
42,-0.0187,0.1173,0.298,True,True,True,False,0.02783499999999997,0.0630500000000001
43,-0.031,0.1204,0.308,True,True,True,False,0.028502499999999993,0.0540500000000001
44,-0.016300000000000005,0.1155,0.29500000000000004,True,True,True,False,0.026307499999999994,0.065025
45,-0.0275,0.1185,0.295,True,True,True,False,0.025814999999999998,0.03999999999999998
46,-0.019099999999999995,0.1165,0.269,True,True,True,False,0.025119999999999993,0.05002499999999996
47,-0.015599999999999998,0.11860000000000001,0.28600000000000003,True,True,True,False,0.02611499999999999,0.05999999999999994
48,-0.0198,0.117,0.28,True,True,True,False,0.025522499999999986,0.05202499999999993
49,-0.025599999999999998,0.118,0.303,True,True,True,False,0.02511249999999999,0.052149999999999974
50,-0.010099999999999998,0.12030000000000002,0.287,True,True,True,False,0.0258025,0.06007499999999999
51,-0.027399999999999994,0.1154,0.299,True,True,True,False,0.023729999999999973,0.068025
52,-0.027,0.1186,0.312,True,True,True,False,0.025029999999999983,0.05702499999999999
53,-0.0258,0.111,0.272,True,True,True,False,0.024704999999999994,0.05102499999999999
54,-0.024,0.11739999999999999,0.301,True,True,True,False,0.025617499999999984,0.05405000000000004
55,-0.0213,0.1175,0.29900000000000004,True,True,True,False,0.026419999999999992,0.06602499999999994
56,-0.012299999999999998,0.12129999999999998,0.284,True,True,True,False,0.027529999999999975,0.058999999999999886
57,-0.015600000000000003,0.11939999999999998,0.28700000000000003,True,True,True,False,0.025017499999999988,0.054025000000000045
58,-0.016499999999999997,0.12149999999999998,0.289,True,True,True,False,0.027707499999999996,0.05802499999999999
59,-0.010399999999999998,0.1198,0.28300000000000003,True,True,True,False,0.025702499999999996,0.063
60,-0.008200000000000002,0.1094,0.25999999999999995,False,False,False,False,0.023112499999999994,0.04699999999999996
61,-0.011400000000000002,0.111,0.26300000000000007,True,True,False,False,0.023009999999999996,0.04507499999999995
62,-0.0291,0.12129999999999999,0.295,True,True,True,False,0.025309999999999996,0.05102499999999999
63,-0.018699999999999998,0.1141,0.26899999999999996,True,True,False,False,0.024809999999999992,0.05202500000000004
64,-0.021,0.12499999999999999,0.31500000000000006,True,True,True,False,0.0287125,0.05302499999999999
65,-0.010399999999999996,0.12040000000000001,0.28700000000000003,True,True,True,False,0.025699999999999997,0.05804999999999999
66,-0.014099999999999996,0.11589999999999998,0.27099999999999996,True,True,True,False,0.024912499999999987,0.04904999999999998
67,-0.011099999999999997,0.12129999999999998,0.29900000000000004,True,True,True,False,0.02733749999999998,0.07602499999999995
68,-0.009600000000000001,0.113,0.264,True,True,True,False,0.02701249999999999,0.05300000000000005
69,-0.027300000000000005,0.1151,0.292,True,True,True,False,0.02421749999999999,0.050024999999999986
70,-0.0338,0.12,0.306,True,True,True,False,0.027042499999999962,0.05202499999999999
71,-0.032799999999999996,0.12279999999999999,0.305,True,True,True,False,0.026107499999999995,0.05602500000000005
72,-0.0212,0.123,0.285,True,True,True,False,0.027209999999999988,0.065025
73,-0.0163,0.11689999999999999,0.28800000000000003,True,True,True,False,0.02550999999999999,0.06004999999999999
74,-0.028700000000000003,0.1291,0.325,True,False,True,False,0.029805000000000005,0.05702499999999999
75,-0.022799999999999997,0.12459999999999999,0.33399999999999996,True,True,False,False,0.029027499999999977,0.06304999999999994
76,-0.024399999999999995,0.12,0.309,True,True,True,False,0.02720749999999999,0.05702499999999999
77,-0.024399999999999998,0.12320000000000002,0.312,True,True,True,False,0.02451999999999999,0.05502499999999999
78,-0.017000000000000005,0.12219999999999999,0.29400000000000004,True,True,True,False,0.026302499999999996,0.05102499999999999
79,-0.021,0.1212,0.305,True,True,True,False,0.02560999999999999,0.060024999999999995
80,-0.022599999999999995,0.1216,0.29600000000000004,True,True,True,False,0.02802499999999999,0.061024999999999996
81,-0.022700000000000005,0.1165,0.284,True,True,True,False,0.025342499999999966,0.05204999999999993
82,-0.030400000000000003,0.11880000000000002,0.309,True,True,True,False,0.028309999999999995,0.07004999999999995
