scenario,n_items,n_trials,tail_q,mc_reps,metric,estimator,estimand,truth,estimate_mean,bias,rmse,estimate_sd,negative_rate
null_effect,300,20,0.1,36,signed,signed,latent_metric,0.0,-0.00015277777777777783,-0.00015277777777777783,0.008685298704146386,0.008807137707744474,0.5
null_effect,300,20,0.1,36,ins,raw,latent_metric,0.0,0.11243055555555556,0.11243055555555556,0.11257278509677393,0.005737287534538275,0.0
null_effect,300,20,0.1,36,ins,adjusted,latent_metric,0.0,0.003274498456790123,0.003274498456790123,0.006767080067278642,0.006006085413416259,0.3055555555555556
null_effect,300,20,0.1,36,wtd,raw,oracle_tail,0.0,0.2508796296296296,0.2508796296296296,0.251630025539653,0.0196940330626209,0.0
null_effect,300,20,0.1,36,wtd,adjusted,oracle_tail,0.0,0.003919753086419748,0.003919753086419748,0.02040091847445447,0.020304811795900046,0.4444444444444444
null_effect,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.0,-0.0018344907407407403,-0.0018344907407407403,0.024893516796506324,0.025177986757098998,0.5555555555555556
null_effect,300,20,0.1,36,wtd,split,noisy_selected_set,0.0,-0.0018344907407407403,-0.0018344907407407403,0.024893516796506324,0.025177986757098998,0.5555555555555556
diffuse,300,20,0.1,36,signed,signed,latent_metric,-0.07999999999999997,-0.07823148148148147,0.0017685185185184933,0.007949881589303735,0.007860618920033997,1.0
diffuse,300,20,0.1,36,ins,raw,latent_metric,0.07999999999999997,0.13337037037037036,0.053370370370370394,0.05363617721438435,0.005408856803650714,0.0
diffuse,300,20,0.1,36,ins,adjusted,latent_metric,0.07999999999999997,0.02373842592592593,-0.05626157407407405,0.056609373370156965,0.006354372394535844,0.0
diffuse,300,20,0.1,36,wtd,raw,oracle_tail,0.08000000000000003,0.3368518518518519,0.25685185185185194,0.2574135357650443,0.017236808978875712,0.0
diffuse,300,20,0.1,36,wtd,adjusted,oracle_tail,0.08000000000000003,0.08829378858024693,0.0082937885802469,0.019564031132148104,0.017970386643848854,0.0
diffuse,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.08000000000000003,0.08311342592592592,0.003113425925925899,0.022709827236415802,0.02281449536464452,0.0
diffuse,300,20,0.1,36,wtd,split,noisy_selected_set,0.07999999999999999,0.08311342592592592,0.0031134259259259544,0.022709827236415812,0.02281449536464452,0.0
symmetric_churn,300,20,0.1,36,signed,signed,latent_metric,2.220446049250313e-18,-0.0008935185185185192,-0.0008935185185185217,0.007268919545436219,0.007316121877730441,0.4444444444444444
symmetric_churn,300,20,0.1,36,ins,raw,latent_metric,0.15,0.17485648148148147,0.02485648148148149,0.025793951463449063,0.0069885567211042735,0.0
symmetric_churn,300,20,0.1,36,ins,adjusted,latent_metric,0.15,0.05625077160493827,-0.09374922839506172,0.09400010752712823,0.00696047218414696,0.0
symmetric_churn,300,20,0.1,36,wtd,raw,oracle_tail,0.15000000000000005,0.35685185185185186,0.20685185185185181,0.20743993627190935,0.01583033945518271,0.0
symmetric_churn,300,20,0.1,36,wtd,adjusted,oracle_tail,0.15000000000000005,0.09535590277777778,-0.05464409722222226,0.05675653294942848,0.015557965496338248,0.0
symmetric_churn,300,20,0.1,36,wtd,split_oracle_comparison,oracle_tail,0.15000000000000005,0.12914448302469136,-0.02085551697530869,0.030088271480177592,0.021995229174183107,0.0
symmetric_churn,300,20,0.1,36,wtd,split,noisy_selected_set,0.12989583333333335,0.12914448302469136,-0.0007513503086419825,0.02095405560911556,0.021995229174183107,0.0
sparse_collapse,300,20,0.1,36,signed,signed,latent_metric,-0.055,-0.05406944444444444,0.0009305555555555562,0.007231457770151291,0.007273061297343824,1.0
