cell,benchmark,benchmark_label,model,model_label,baseline_repo,perturbed_repo,common_question_ids,n_items,n_baseline_trials,n_perturbed_trials,tail_q,tail_k,baseline_accuracy,perturbed_accuracy,signed_delta,signed_degradation,ins_raw,wtd_raw,absolute_loss_mean,absolute_loss_tail_raw,n_boot,ins_floor,ins_floor_sd,wtd_floor,wtd_floor_sd,ins_adjusted,wtd_adjusted,split_reps,split_wtd,split_wtd_mc_sd,selection_half_wtd,naive_wtd,winners_curse_naive_minus_split,absolute_tail_q,absolute_tail_k,absolute_loss_tail_crossfit,absolute_loss_tail_mc_sd,split_half_reps,split_half_r,split_half_r_sd,split_half_undefined_rate,spearman_brown_reliability,f_plus,f_minus,n_item_boot,boot_level,signed_delta_boot_lo,signed_delta_boot_hi,signed_delta_boot_sd,ins_raw_boot_lo,ins_raw_boot_hi,ins_raw_boot_sd,wtd_raw_boot_lo,wtd_raw_boot_hi,wtd_raw_boot_sd,absolute_loss_tail_raw_boot_lo,absolute_loss_tail_raw_boot_hi,absolute_loss_tail_raw_boot_sd,baseline_accuracy_published,signed_delta_published,ins_adjusted_published,wtd_adjusted_published,baseline_accuracy_difference_from_published,signed_delta_difference_from_published,ins_adjusted_difference_from_published,wtd_adjusted_difference_from_published
mmlu_pro.gpt55,mmlu_pro,MMLU-Pro,gpt55,gpt-5.5,SALT-NLP/mmlu-pro-context-baseline-gpt55,SALT-NLP/mmlu-pro-ctx-screen-gpt55,500,500,20,20,0.1,50,0.8018000000000001,0.8048,0.0030000000000000005,-0.0030000000000000005,0.046,0.206,0.19519999999999998,0.992,1000,0.021614599999999994,0.0017246336426039012,0.10693000000000001,0.014735271569544562,0.024385400000000005,0.09906999999999998,200,0.121,0.011527114637206334,0.23964,0.206,0.08499999999999999,0.1,50,0.9745199999999999,0.0044132737196579,200,0.6224215258722468,0.04178958398793499,0.0,0.7672747383422693,0.0245,0.0215,1000,0.95,-0.008204999999999994,0.014502500000000002,0.005819906937121654,0.0362,0.056505,0.005298540097721934,0.14797500000000002,0.27099999999999996,0.030996293233130218,0.9670000000000001,1.0,0.008314702055411863,0.802,0.003,0.024,0.1,-0.00019999999999997797,4.336808689942018e-19,0.0003854000000000045,-0.000930000000000028
mmlu_pro.gpt54,mmlu_pro,MMLU-Pro,gpt54,gpt-5.4,SALT-NLP/mmlu-pro-context-baseline-gpt54-10k,SALT-NLP/mmlu-pro-ctx-screen-gpt54-10k,500,500,20,20,0.1,50,0.8119000000000001,0.7904000000000001,-0.0215,0.0215,0.06730000000000001,0.368,0.20960000000000004,1.0,1000,0.0212203,0.001668544860635144,0.10486699999999999,0.014705085873620412,0.046079700000000015,0.263133,200,0.29107,0.011180344382107042,0.396265,0.368,0.07693,0.1,50,0.986625,0.004578118702509951,200,0.7298633550479363,0.02926191230596771,0.0,0.8438393158836653,0.0229,0.0444,1000,0.95,-0.03600249999999999,-0.007000000000000002,0.007223065650219952,0.054,0.0814025,0.006865866648489092,0.286975,0.45104999999999995,0.04086129426938615,0.971,1.0,0.008359920051248292,0.812,-0.021,0.046,0.262,-9.999999999998899e-05,-0.000499999999999997,7.970000000001587e-05,0.0011329999999999951
mmlu_pro.gpt41,mmlu_pro,MMLU-Pro,gpt41,gpt-4.1,SALT-NLP/mmlu-pro-context-baseline-gpt41,SALT-NLP/mmlu-pro-ctx-screen-gpt41,500,500,20,20,0.1,50,0.78,0.7799,-0.00010000000000000009,0.00010000000000000009,0.06509999999999999,0.30699999999999994,0.22010000000000002,1.0,1000,0.0225839,0.0016140743557922063,0.11040699999999999,0.014487278289321023,0.04251609999999999,0.19659299999999996,200,0.23399,0.01117201726857089,0.32977000000000006,0.30699999999999994,0.07300999999999994,0.1,50,0.9857300000000001,0.004354527476975975,200,0.7682641200994041,0.026006007465541985,0.0,0.8689472476048609,0.0325,0.032600000000000004,1000,0.95,-0.014202499999999996,0.014302499999999998,0.007373310446939485,0.0519975,0.07809999999999999,0.006729175117186189,0.22099999999999997,0.3940249999999999,0.04518153103588618,0.996,1.0,0.0012833561481533453,0.78,0.0,0.043,0.197,0.0,-0.00010000000000000009,-0.0004839000000000093,-0.0004070000000000462
mmlu_pro.deep,mmlu_pro,MMLU-Pro,deep,DeepSeek-V4-Pro,SALT-NLP/mmlu-pro-context-baseline-deep,SALT-NLP/mmlu-pro-ctx-screen-deep,500,500,20,20,0.1,50,0.7905,0.792,0.001500000000000001,-0.001500000000000001,0.0805,0.299,0.208,0.977,1000,0.032589,0.002003560144655821,0.14041599999999999,0.0145340353027706,0.047911,0.158584,200,0.20355499999999999,0.013620372525694499,0.33535000000000004,0.299,0.095445,0.1,50,0.9565950000000001,0.005811180957482141,200,0.6476039430054158,0.0317710487706909,0.0,0.7861160393002132,0.041,0.0395,1000,0.95,-0.012599999999999998,0.0162025,0.00736650327907078,0.06780000000000001,0.0941025,0.006597107382468153,0.242975,0.34900000000000003,0.027138939571048855,0.935975,0.9980249999999999,0.016859573547994045,0.79,0.002,0.048,0.159,0.0004999999999999449,-0.0004999999999999991,-8.89999999999988e-05,-0.0004159999999999997
mmlu_pro.grok,mmlu_pro,MMLU-Pro,grok,Grok-4.20-NR,SALT-NLP/mmlu-pro-context-baseline-grok,SALT-NLP/mmlu-pro-ctx-screen-grok,500,500,20,20,0.1,50,0.6787,0.6793,0.0006000000000000005,-0.0006000000000000005,0.085,0.352,0.32070000000000004,1.0,1000,0.0306186,0.001985385553436862,0.138109,0.014600695164933047,0.05438140000000001,0.21389099999999997,200,0.2657,0.01332734371329341,0.38404499999999997,0.352,0.08629999999999999,0.1,50,0.971615,0.006326682349204734,200,0.7331348859099114,0.026519212859830808,0.0,0.846021728453073,0.0428,0.0422,1000,0.95,-0.015602499999999995,0.016805,0.00831576121136992,0.07149749999999999,0.1011,0.007477238330630706,0.277975,0.426025,0.038802261357896224,1.0,1.0,0.0,0.679,0.001,0.054,0.214,-0.000300000000000078,-0.00039999999999999953,0.0003814000000000109,-0.00010900000000002574
mmlu_pro.mistr,mmlu_pro,MMLU-Pro,mistr,Mistral-Large-3,SALT-NLP/mmlu-pro-context-baseline-mistr,SALT-NLP/mmlu-pro-ctx-screen-mistr,500,500,20,20,0.1,50,0.7487,0.7125,-0.0362,0.0362,0.1016,0.565,0.2875,1.0,1000,0.018325,0.0014739020955909477,0.09130599999999998,0.014358779145127155,0.08327499999999999,0.47369399999999995,200,0.51872,0.009486388026480087,0.58433,0.565,0.04627999999999999,0.1,50,0.9819800000000001,0.004760558220719964,200,0.872640260152167,0.013052257743237651,0.0,0.9319892119389316,0.03269999999999999,0.0689,1000,0.95,-0.055405,-0.016692500000000006,0.010133105623626923,0.0841925,0.12110499999999999,0.00946922519617185,0.46299999999999997,0.6689999999999999,0.05237383447426336,1.0,1.0,3.1622776601680306e-05,0.749,-0.036,0.083,0.473,-0.00029999999999996696,-0.00020000000000000573,0.0002749999999999836,0.0006939999999999724
mmlu_pro.gptos,mmlu_pro,MMLU-Pro,gptos,gpt-oss-120b,SALT-NLP/mmlu-pro-context-baseline-gptos,SALT-NLP/mmlu-pro-ctx-screen-gptos,500,500,20,20,0.1,50,0.7743,0.768,-0.006299999999999998,0.006299999999999998,0.0637,0.278,0.232,0.9990000000000001,1000,0.027322199999999998,0.0017678893043945349,0.12478900000000001,0.013323362600747266,0.03637780000000001,0.153211,200,0.18294,0.012675953573399314,0.30978,0.278,0.09506000000000003,0.1,50,0.979675,0.004744674348505578,200,0.6009832257373428,0.034539901123453294,0.0,0.7507676733596708,0.028700000000000003,0.035,1000,0.95,-0.019299999999999998,0.006102499999999998,0.006429337572535884,0.053,0.0741025,0.005370711135231358,0.222,0.33,0.027778766907314137,0.9830000000000001,1.0,0.005244757619040403,0.774,-0.006,0.036,0.153,0.00029999999999996696,-0.0002999999999999982,0.00037780000000001146,0.00021100000000001673
mmlu_pro.gemin,mmlu_pro,MMLU-Pro,gemin,gemini-3.1-fl,SALT-NLP/mmlu-pro-context-baseline-gemin,SALT-NLP/mmlu-pro-ctx-screen-gemin,500,500,20,20,0.1,50,0.8172,0.8406,0.023399999999999997,-0.023399999999999997,0.075,0.25799999999999995,0.15940000000000004,1.0,1000,0.0164208,0.0013939549743339885,0.08203999999999999,0.013303660676196885,0.0585792,0.17595999999999995,200,0.207875,0.01005659237770211,0.273115,0.25799999999999995,0.05012499999999995,0.1,50,0.993815,0.0032081515208768744,200,0.8644891694621095,0.016725456676294916,0.0,0.9273201299544238,0.0492,0.025799999999999997,1000,0.95,0.007195000000000004,0.0417,0.008939502096746649,0.0593,0.091,0.008235304441199442,0.17,0.346025,0.04482752528327905,0.9469749999999999,1.0,0.015123594914011785,0.817,0.023,0.059,0.176,0.000200000000000089,0.0003999999999999976,-0.00042079999999999895,-4.0000000000040004e-05
gpqa.gpt55,gpqa,GPQA,gpt55,gpt-5.5,SALT-NLP/gpqa_diamond-context-baseline-gpt55,SALT-NLP/gpqa_diamond-ctx-screen-gpt55,190,190,20,20,0.1,19,0.6376315789473683,0.6439473684210526,0.006315789473684204,-0.006315789473684204,0.09473684210526316,0.28947368421052627,0.3560526315789474,1.0,1000,0.04579789473684211,0.003913965550250105,0.16780526315789474,0.021531428454135165,0.048938947368421054,0.12166842105263154,200,0.15569736842105264,0.022246587790039813,0.34075000000000005,0.28947368421052627,0.13377631578947363,0.1,19,0.9594868421052632,0.012783342638899695,200,0.5734577801406825,0.049463595849149375,0.0,0.7289140990988773,0.05052631578947369,0.044210526315789464,1000,0.95,-0.017111842105263154,0.030263157894736843,0.012280514457579618,0.07578947368421053,0.115,0.010067044649647965,0.2131578947368421,0.3657894736842105,0.03784309302524594,0.9763157894736842,1.0,0.006999342208047985,0.638,0.006,0.049,0.122,-0.00036842105263168445,0.0003157894736842042,-6.10526315789478e-05,-0.0003315789473684605
gpqa.gpt54,gpqa,GPQA,gpt54,gpt-5.4,SALT-NLP/gpqa_diamond-context-baseline-gpt54,SALT-NLP/gpqa_diamond-ctx-screen-gpt54,190,190,20,20,0.1,19,0.6313157894736843,0.6234210526315788,-0.00789473684210526,0.00789473684210526,0.09789473684210527,0.3657894736842106,0.3765789473684211,1.0,1000,0.03590052631578948,0.003295539068539091,0.14942105263157895,0.023094503041897058,0.06199421052631579,0.21636842105263165,200,0.2579736842105263,0.020114148978479497,0.4040657894736842,0.3657894736842106,0.10781578947368431,0.1,19,0.9753815789473684,0.009846104538306883,200,0.6634026856337679,0.04138923118192412,0.0,0.7976453222822673,0.045000000000000005,0.052894736842105265,1000,0.95,-0.03342763157894736,0.018171052631578942,0.013235158128444223,0.07709868421052633,0.12053289473684209,0.011174614384070327,0.27894736842105267,0.4447368421052631,0.04188221305924831,1.0,1.0,0.0005252874417169217,0.631,-0.008,0.062,0.217,0.00031578947368426924,0.00010526315789474022,-5.789473684209012e-06,-0.0006315789473683442
